No_Inscription;No_Region_MEF;Nom_Dossier;Adresse;Qualite_Sol_Residuel*;Code_Muncp;NO_MRC;Contaminants_sols;Contaminants_eau;LATITUDE_DEG_DEC_NAD83;LONGITUDE_DEG_DEC_NAD83
3;1;Dépanneur Esso 7-24 enr.;"336, avenue de la Cathédrale
Rimouski";R : Non terminée;10043;100;Hydrocarbures légers*,;0;48.4457194444;-68.5183444444
12;1;Texaco Matane;"8, boulevard Dion
Matane";R : Non terminée;8053;80;Hydrocarbures pétroliers C10 à C50,;0;48.8487;-67.5450722222
15;1;École Ste-Agnès;"130, rue Côté
Rimouski";R : Non terminée;10043;100;Hydrocarbures pétroliers C10 à C50,;0;48.4595083333;-68.5157611111
18;1;Municipalité de Lac-au-Saumon;"20, rue du Cénacle
Lac-au-Saumon";R : Non terminée;7057;70;Composés phénoliques*,;0;48.441797;-67.3943
74;1;Louis-Philippe Bérubé;"138, rue Beaubien
Rivière-du-Loup";R : Non terminée;12072;120;Hydrocarbures pétroliers C10 à C50,;0;47.843742;-69.524873
77;1;Produits pétroliers Claude Leblanc (1986) ltée;"230, rue Commerciale
Témiscouata-sur-le-Lac";R : Non terminée;13073;130;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.675741;-68.870218
92;1;Caisse Populaire de Saint-Honoré;"109, rue Principale
Saint-Honoré-de-Témiscouata";R : Non terminée;13090;130;Cadmium (Cd),;0;47.708333;-69.13405
98;1;Garage Maurice Bélanger et Fils inc.;"889, boulevard Sainte-Anne
Rimouski";R : Non terminée;10043;100;Benzène,;0;48.508175;-68.463025
108;1;Caisse Populaire de La Pocatière;"120, route 230 Ouest
La Pocatière";R : Non terminée;14090;140;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Huiles et graisses totales*,;47.379858;-70.007786
109;1;Jean-Guy Lepage;"Boulevard Bégin
Pohénégamook";R : Non terminée;13095;130;Hydrocarbures pétroliers C10 à C50,;0;47.485747;-69.275576
132;1;Pétrolière Impériale Dépôt Esso;"32, rue de la Colline
Rivière-Bleue";R : Non terminée;13025;130;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.439207;-69.04559
135;1;Bois Traitel ltée;"264, route Picard
Saint-Joseph-de-Kamouraska";R : Non terminée;14030;140;Arsenic (As), Chrome total (Cr), Cuivre (Cu),;0;47.5797627604;-69.6468158477
155;1;Ancien dépôt pétrolier Esso Rivière-du-Loup;"270, rue Saint-André
Rivière-du-Loup";R : Non terminée;12072;120;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.818971;-69.520166
156;1;Station-service Esso Saint-Fabien;"9, route 132
Saint-Fabien";R : Non terminée;10070;100;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.297303;-68.869437
158;1;Ancien dépôt pétrolier Esso Rivière-du-Loup;"265, rue Saint-André
Rivière-du-Loup";R : Non terminée;12072;120;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;47.819702;-69.52195
161;1;Valet Service Éclair (1987) inc.;"330, avenue de la Cathédrale
Rimouski";R : Non terminée;10043;100;Hydrocarbures pétroliers C10 à C50, Tétrachloroéthène, Trichloroéthylène,;0;48.4462833333;-68.5185111111
162;1;Hôtel Motel Normandie Rimouski-Est;"556, rue Saint-Germain Est
Rimouski-Est";R : Non terminée;10043;100;Hydrocarbures pétroliers C10 à C50,;0;48.4765611111;-68.5110194444
175;1;Ville de Pointe-au-Père;"Face au 889, route 132
Rimouski";R : Non terminée;10043;100;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.508306;-68.463357
186;1;Ancien dépôt pétrolier Ultramar;"261, rue Saint-André
Rivière-du-Loup";R : Non terminée;12072;120;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.820027;-69.521072
191;1;Garage Fernand Santerre_2001;"166, rue Principale
Esprit-Saint";R : Non terminée;10005;100;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.068475;-68.5619611111
199;1;Alain Malenfant;"7, 1er et 2e Rang Est
Saint-Michel-du-Squatec";R : Non terminée;13065;130;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.920424;-68.783869
200;1;Transports Canada (Aéroport);"875, route de l'Aéroport
Mont-Joli";R : Non terminée;9077;90;Produits pétroliers*,;0;48.607547;-68.197568
213;2;Shell Canada ltée;"1193, boul. St-Dominique
Roberval";R : Non terminée;91025;910;Hydrocarbures légers*, Xylènes (o,m,p),;0;48.5227972129;-72.2281518585
224;2;Restaurant Guil-li-gang;;R : Non terminée;94930;942;Hydrocarbures pétroliers C10 à C50,;0;49.8092409338;-71.1649149245
231;2;Dépôt pétrolier Irving;"1287, boul. Marcotte
Roberval";R : Non terminée;91025;910;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Méthyl naphtalènes (chacun), Naphtalène, Toluène, Xylènes (o,m,p),;Benzène, Benzo(a)pyrène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;48.5244843376;-72.234696977
235;2;Irving, coin St-Paul et du Royaume;"2334, boulevard St-Paul
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.3872910656;-71.1156636976
237;2;Poste Saint-Ambroise d'Hydro-Québec (désaffecté);"rue du Pont Ouest
Saint-Ambroise";R : Non terminée;94255;942;Biphényles polychlorés (BPC), Hydrocarbures pétroliers C10 à C50,;0;48.543068811;-71.3116162453
240;2;Produits Shell Canada ltée;"1916, boul. Talbot
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;Hydrocarbures pétroliers C10 à C50,;48.3958800462;-71.0688687533
242;2;Station-Service Gérard Vézina;"203, 6e Avenue
Dolbeau-Mistassini";R : Non terminée;92022;920;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Méthyl naphtalènes (chacun), Naphtalène, Toluène, Xylènes (o,m,p),;Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;48.8787688674;-72.2295286888
247;2;Campement forestier Boisaco du Lac Maltais;;R : Non terminée;94930;942;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;48.4502907946;-70.0670303122
248;2;Les métaux Lucien Côté et fils ltée;"3360, boul. St-François
Jonquière";R : Non terminée;94068;941;Cuivre (Cu), Hydrocarbures pétroliers C10 à C50,;0;48.4116604953;-71.2166831743
249;2;Cour de récupération de rebuts;"rang St-Joseph
Dolbeau-Mistassini";R : Non terminée;92022;920;Plomb (Pb),;0;48.8563977992;-72.1752700899
250;2;E. et J. Turcotte inc.;"2030, rue Drake
Jonquière";R : Non terminée;94068;941;Plomb (Pb),;0;48.4230777778;-71.1671916667
251;2;Radiateur Saguenay;"252, Price
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Plomb (Pb), Toluène, Xylènes (o,m,p),;0;48.4291892374;-71.0677876042
253;2;Commission scolaire du pays-des-bleuets;"654, boulevard Saint-Joseph
Roberval";R : Non terminée;91025;910;Hydrocarbures pétroliers C10 à C50,;0;48.117153899;-70.8349994404
254;2;Sablage industriel Saguenay;"2110, boul. St-Jean-Baptiste
Chicoutimi";R : Non terminée;94068;941;Plomb (Pb),;0;48.4020271925;-71.0062875921
